"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987-01","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Hours","152","thousands","3","v4391521","1.9.1","66093.5","","","","1"
"1987-01","Canada","2016A000011124","Transportation and warehousing [48-49]","Estimate","Hours","152","thousands","3","v4391523","1.10.1","23565.1","","","","1"
"1987-01","Canada","2016A000011124","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Hours","152","thousands","3","v4391525","1.11.1","26834.0","","","","1"
"1987-01","Canada","2016A000011124","Professional, scientific and technical services [54]","Estimate","Hours","152","thousands","3","v4391527","1.12.1","17605.8","","","","1"
"1987-01","Canada","2016A000011124","Business, building and other support services [55-56]","Estimate","Hours","152","thousands","3","v4391529","1.13.1","8448.1","","","","1"
"1987-01","Canada","2016A000011124","Educational services [61]","Estimate","Hours","152","thousands","3","v4391531","1.14.1","23799.5","","","","1"
"1987-01","Canada","2016A000011124","Health care and social assistance [62]","Estimate","Hours","152","thousands","3","v4391533","1.15.1","34560.2","","","","1"
"1987-01","Canada","2016A000011124","Information, culture and recreation [51, 71]","Estimate","Hours","152","thousands","3","v4391535","1.16.1","17642.0","","","","1"
"1987-01","Canada","2016A000011124","Accommodation and food services [72]","Estimate","Hours","152","thousands","3","v4391537","1.17.1","23029.6","","","","1"
"1987-01","Canada","2016A000011124","Other services (except public administration) [81]","Estimate","Hours","152","thousands","3","v4391539","1.18.1","21451.5","","","","1"
"1987-01","Canada","2016A000011124","Public administration [91]","Estimate","Hours","152","thousands","3","v4391541","1.19.1","26215.5","","","","1"
"1987-02","Canada","2016A000011124","Total actual hours worked, all industries","Estimate","Hours","152","thousands","3","v4391505","1.1.1","427395.1","","","","1"
"1987-02","Canada","2016A000011124","Goods-producing sector","Estimate","Hours","152","thousands","3","v4391507","1.2.1","137333.3","","","","1"
"1987-02","Canada","2016A000011124","Agriculture [111-112, 1100, 1151-1152]","Estimate","Hours","152","thousands","3","v4391509","1.3.1","20063.5","","","","1"
"1987-02","Canada","2016A000011124","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Hours","152","thousands","3","v4391511","1.4.1","10916.9","","","","1"
"1987-02","Canada","2016A000011124","Utilities [22]","Estimate","Hours","152","thousands","3","v4391513","1.5.1","4022.2","","","","1"
"1987-02","Canada","2016A000011124","Construction [23]","Estimate","Hours","152","thousands","3","v4391515","1.6.1","26515.7","","","","1"
"1987-02","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Hours","152","thousands","3","v4391517","1.7.1","75815.1","","","","1"
"1987-02","Canada","2016A000011124","Services-producing sector","Estimate","Hours","152","thousands","3","v4391519","1.8.1","290061.8","","","","1"
